AMA01-01-343600	6
AMA01-02-343601	6
AMA01-03-343602	6
AMA01-04-343603	6
AMA01-05-343604	6
AMA01-06-343605	6
AMA02-01-343606	6
AMA02-02-343607	6
AMA02-03-343608	6
AMA02-04-343609	6
AMA02-05-343696	6
AMA02-06-343697	6
AMA03-01-343698	6
AMA03-02-343699	6
AMA03-03-343700	6
AMA03-04-343701	6
AMA03-05-343702	6
AMA03-06-343703	6
BIN01-01-343610	2
BIN01-02-343611	2
BIN01-03-343612	2
BIN01-04_R-343689	2
BIN01-05-343614	2
BIN01-06-343615	2
BIN02-01-343704	2
BIN02-03-343706	2
BIN02-05-343708	2
BIN02-06-343709	2
MAR01-04-343619	3
MAR02-01-343622	5
MAR02-02-343623	5
MAR02-03-343624	5
MAR02-04-343625	5
MAR02-05-343626	5
MAR02-06-343627	5
MAR03-01-343628	5
MAR03-03-343630	5
MAR04-02-343635	5
MAR04-04_R-343690	5
MAR04-06-343639	5
MAR05-01-343640	5
MAR05-02-343641	5
MAR05-03-343642	5
MAR05-04-343643	5
MAR05-05-343644	5
MAR06-01-343646	3
MAR06-02-343647	3
MAR07-01-343714	7
MAR08-01-343720	4
MAR08-02-343721	4
MAR08-03-343722	4
MAR08-05-343724	4
MAR09-06-343731	3
MAR10-04-343735	4
VER02-04-343657	3
VER03-01-343660	1
VER03-02-343661	1
VER03-03-343662	1
VER03-04-343663	1
VER03-05-343664	1
VER03-06-343665	1
VER04-01-343666	1
VER05-01-343742	1
VER05-02-343743	1
VER05-03-343744	1
VER05-04-343745	1
VER05-05-343746	1
VER06-02-343749	1
VER06-03-343750	1
VER06-04-343751	1
VER06-05-343752	1
VER06-06-343753	1
VER07-02-343755	1
VER08-01-343756	1
VER08-02_R-343695	1
VER08-03_R-343785	1
VER08-04-343759	1
VER08-05-343760	1
VER08-06-343761	1
VER09-01-343762	3
VER09-04-343765	3
VER09-05-343766	3
WHT01-01-343668	8
WHT01-02-343669	8
